episode,total_reward,steps,termination_reason,terminated,truncated,goal_x,goal_y,final_distance_to_goal,goal_reached,distance_reward_sum,velocity_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,tension_penalty_sum,safety_penalty_sum,max_current,safety_interventions,hardware_error,hardware_error_ids,safety_penalty_current_aware_scaling,safety_penalty_temperature_high,safety_penalty_temperature_critical,safety_penalty_voltage_low,safety_penalty_voltage_critical,safety_penalty_tension_safety,safety_penalty_opposing_motors,safety_penalty_tension_too_low,safety_penalty_high_horizontal_current,safety_penalty_high_vertical_current,safety_penalty_single_motor_over_current,safety_penalty_position_limit_pull,safety_penalty_position_limit_release,safety_penalty_motor_stuck
1,6.84581969214147,82,observation_failed,True,False,-0.119,-0.528,0.1974981222282408,False,0.0,14.147273351800841,-0.5730857230373658,0.0,-2.3225999999999996,-4.405768008669838,566.0,47,False,,-0.0026930512,0.0,0.0,-0.43032327,-0.2889995,-1.1468333,-0.05604769,-2.270431,0.0,0.0,0.0,0.0,0.0,-0.21043988
1,11.740623949607464,132,observation_failed,True,False,-0.119,-0.528,0.1650280499798543,False,0.0,23.521059292850286,-0.8724000196671113,0.0,-3.4446,-7.463435376412235,595.0,85,False,,-0.008870538,0.0,0.0,-0.52074736,-0.13063043,-1.3168057,-0.3632751,-3.9094653,-0.115702786,-0.084307395,0.0,0.0,0.0,-1.0136307
1,3.2083504761636266,47,observation_failed,True,False,-0.119,-0.528,0.10471001623045836,False,0.0,8.2077287673528,-0.5510857274057344,0.0,-2.1972,-2.251092530088499,585.0,20,False,,-0.003749843,0.0,0.0,-0.66852623,-0.15142214,-0.46894535,-0.18430366,-0.2582074,-0.35672438,0.0,0.0,0.0,0.0,-0.15921348
1,38.13378127910121,400,max_steps,False,True,-0.119,-0.528,0.15809452775815347,False,0.0,72.49902184266195,-3.622342903050594,0.0,-10.616699999999993,-20.12619794672355,677.0,211,False,,-0.05022009,0.0,0.0,-1.6339759,0.0,-3.8822749,-0.9151382,-9.50435,0.0,-0.8593171,-1.4055108,0.0,0.0,-1.8754108
2,42.72199448172712,400,max_steps,False,True,-0.119,-0.528,0.1239990272576854,False,0.0,72.38719581570668,-2.738228623278701,0.0,-9.410099999999998,-17.51687283499632,762.0,186,False,,-0.025135024,0.0,0.0,-2.220482,-0.4442339,-1.872801,-0.95163673,-6.9060974,0.0,-2.4904451,-0.79098547,0.0,0.0,-1.8150567
3,44.55153140361609,400,max_steps,False,True,-0.119,-0.528,0.14481927382137272,False,0.0,72.39502135618321,-2.7385143373285246,0.0,-8.337000000000002,-16.76797579502454,690.0,180,False,,-0.0040633758,0.0,0.0,-1.3869059,-0.11326082,-2.1265793,-0.673699,-7.7313914,0.0,-2.7426422,-0.6097727,0.0,0.0,-1.3796619
1,87.13801064484016,400,max_steps,False,True,-0.119,-0.528,0.19684864103921892,False,0.0,110.77635822359456,-2.6989143457903992,0.0,-4.984500000000001,-15.954933192988392,571.0,187,False,,-0.012195488,0.0,0.0,-1.4786167,-0.27911296,-1.8233229,-1.0783949,-8.720964,0.0,0.0,0.0,0.0,0.0,-2.5623271
1,22.087636620428775,400,max_steps,False,True,-0.119,-0.528,0.04414918569744695,False,0.0,49.58613588258664,-3.0050286333316762,0.0,-7.7484,-16.745070816250518,736.0,185,False,,-0.008386482,0.0,0.0,-0.48952433,-0.03274042,-1.6941787,-0.7269483,-9.069967,0.0,-1.0232348,-1.1094731,0.0,0.0,-2.5906162
2,-0.4892375384166836,11,observation_failed,True,False,-0.119,-0.528,0.027708467975109886,False,0.0,1.094300290387848,-0.10514286067336798,0.0,-0.5711999999999999,-0.9071949794888496,562.0,9,False,,0.0,0.0,0.0,-0.29198807,0.0,-0.38889647,-0.09390666,-0.034429666,0.0,0.0,0.0,0.0,0.0,-0.09797412
2,27.41958499025647,400,max_steps,False,True,-0.119,-0.528,0.12862930671549105,False,0.0,48.129041571325764,-2.509428618061065,0.0,-3.1485000000000003,-15.051528083509766,593.0,165,False,,-0.017485527,0.0,0.0,-0.42082927,0.0,-2.1327245,-0.5765861,-10.58144,0.0,0.0,0.0,0.0,0.0,-1.3224622
