step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,201,2652,4241,3850,537,2653,4201,3796,252,-1,40,54,285,-12.0,29.0,249.0,357.0,4.9,4.6,5.0,4.7,36.0,36.0,39.0,34.0,-0.2567431330680847,-0.8698120713233948,0.7383795976638794,0.44251149892807007
2,202,2769,4202,3881,506,2769,4163,3818,251,0,39,63,255,0.0,29.0,307.0,293.0,5.0,5.0,4.7,5.1,36.0,36.0,39.0,34.0,0.7845699787139893,-0.2653345465660095,0.23110142350196838,-0.20671100914478302
3,203,2732,4325,3799,518,2732,4211,3784,253,0,114,15,265,0.0,89.0,45.0,315.0,5.0,5.1,5.0,5.1,36.0,36.0,39.0,34.0,-0.2484818398952484,0.8216820955276489,-0.5484651923179626,0.1027744933962822
4,204,2600,4228,3929,532,2600,4164,3839,249,0,64,90,283,0.0,41.0,484.0,344.0,5.0,4.9,4.7,4.8,36.0,36.0,39.0,34.0,-0.8835363984107971,-0.6502630114555359,0.8701232075691223,0.1225576251745224
5,205,2506,4358,3950,558,2506,4164,3851,249,0,194,99,309,0.0,186.0,538.0,392.0,4.6,4.0,4.3,4.9,36.0,36.0,40.0,35.0,-0.6279443502426147,0.8682739734649658,0.2779466509819031,0.24957789480686188
6,206,2369,4234,3931,645,2370,4163,3850,249,-1,71,81,396,0.0,47.0,420.0,586.0,4.5,4.8,4.4,4.8,36.0,36.0,40.0,35.0,-0.9169596433639526,-0.8282603621482849,-0.547778844833374,0.9459463357925415
7,207,2387,4126,3920,634,2388,4092,3860,250,-1,34,60,384,0.0,26.0,283.0,553.0,4.6,5.0,4.9,4.6,36.0,36.0,40.0,35.0,0.12355746328830719,-0.7217000126838684,0.6543501615524292,0.8482424020767212
8,208,2364,4101,3970,559,2364,4066,3885,249,0,35,85,310,0.0,28.0,445.0,389.0,5.0,4.6,4.3,5.0,35.0,36.0,40.0,36.0,-0.7808032035827637,-0.8446472883224487,0.40642455220222473,-0.7089250087738037
9,209,2488,4034,3997,642,2488,3991,3913,250,0,43,84,392,0.0,30.0,430.0,568.0,4.4,4.7,4.3,4.8,35.0,35.0,40.0,36.0,0.8290314674377441,-0.4505799412727356,0.3373747169971466,0.8907068967819214
10,210,2512,3946,3876,567,2512,3923,3863,301,0,23,13,266,0.0,21.0,45.0,312.0,4.7,5.1,5.0,4.9,35.0,35.0,41.0,36.0,0.16623525321483612,-0.5867515802383423,-0.8109064698219299,-0.8200299739837646
11,211,2594,3892,3790,579,2594,3878,3778,383,0,14,12,196,0.0,18.0,36.0,189.0,5.0,5.2,5.2,4.9,35.0,35.0,40.0,36.0,0.5496665239334106,-0.3638138175010681,-0.5795056819915771,0.11044998466968536
12,212,2617,3754,3709,442,2617,3750,3706,411,0,4,3,31,0.0,16.0,18.0,18.0,5.2,5.2,5.2,5.2,35.0,35.0,40.0,36.0,0.15894491970539093,-0.9202629327774048,-0.5427533388137817,-0.9174978733062744
13,213,2652,3724,3640,515,2652,3722,3637,476,0,2,3,39,0.0,15.0,17.0,22.0,5.2,5.2,5.2,5.2,35.0,35.0,40.0,36.0,0.23345604538917542,-0.20521914958953857,-0.4643477499485016,0.48892083764076233
14,214,2514,3788,3617,622,2513,3748,3610,514,1,40,7,108,14.0,29.0,25.0,76.0,5.2,5.2,5.2,5.2,35.0,35.0,40.0,36.0,-0.9263336658477783,0.42863884568214417,-0.15983492136001587,0.7161685228347778
15,215,2393,3931,3535,756,2394,3860,3522,588,-1,71,13,168,0.0,50.0,43.0,154.0,4.9,5.2,5.1,5.2,35.0,35.0,40.0,36.0,-0.8082195520401001,0.9558977484703064,-0.5530827045440674,0.8990685939788818
16,216,2281,3984,3422,884,2280,3910,3406,682,1,74,16,202,6.0,51.0,55.0,206.0,5.1,5.1,5.0,5.2,35.0,35.0,40.0,36.0,-0.749101459980011,0.35959720611572266,-0.75877845287323,0.8535990118980408
17,217,2169,4122,3326,934,2168,4032,3311,723,1,90,15,211,9.0,67.0,46.0,267.0,4.7,5.1,5.1,5.0,35.0,35.0,40.0,36.0,-0.7469242811203003,0.9242756962776184,-0.6441226601600647,0.33912980556488037
18,218,2130,4031,3412,794,2130,4002,3358,703,0,29,54,91,0.0,24.0,255.0,58.0,5.2,5.1,4.7,5.1,35.0,35.0,40.0,36.0,-0.26028111577033997,-0.6085001826286316,0.5748101472854614,-0.9373878240585327
19,219,2127,4020,3424,926,2130,3993,3364,703,-3,27,60,223,-13.0,23.0,288.0,236.0,5.0,5.0,5.0,4.9,35.0,35.0,40.0,36.0,-0.10245635360479355,-0.3780460059642792,0.09076185524463654,0.8861011862754822
20,220,2189,4062,3332,1044,2189,3993,3316,750,0,69,16,294,0.0,47.0,51.0,373.0,4.6,5.1,5.0,4.9,35.0,35.0,40.0,36.0,0.4198780357837677,0.2813844680786133,-0.6145589351654053,0.856008768081665
21,221,2176,3945,3304,1101,2176,3916,3290,803,0,29,14,298,0.0,24.0,44.0,382.0,5.0,5.1,5.0,4.7,35.0,35.0,40.0,36.0,-0.08941385895013809,-0.7858531475067139,-0.1891450434923172,0.5832120180130005
22,222,2301,3846,3159,1136,2301,3826,3146,953,0,20,13,183,0.0,19.0,37.0,174.0,5.1,5.2,5.1,5.1,35.0,35.0,40.0,36.0,0.8392547369003296,-0.666606068611145,-0.9668453931808472,0.3669416308403015
