step,action_count,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp
1,857,13.0,11.0,19.0,18.0,5.2,5.2,5.2,5.2,37.0,34.0,32.0,29.0
2,858,27.0,55.0,210.0,130.0,5.1,4.8,4.9,5.1,37.0,34.0,32.0,29.0
3,859,34.0,182.0,34.0,191.0,4.9,5.0,4.9,5.2,37.0,34.0,32.0,29.0
4,860,158.0,238.0,363.0,393.0,4.7,4.7,4.0,4.7,37.0,34.0,32.0,29.0
5,861,230.0,105.0,60.0,435.0,4.3,5.0,4.9,4.6,37.0,34.0,32.0,29.0
6,862,51.0,332.0,291.0,408.0,4.8,4.7,4.3,4.8,37.0,34.0,32.0,29.0
7,863,28.0,193.0,53.0,447.0,4.8,4.9,4.8,4.8,37.0,34.0,32.0,30.0
8,864,145.0,56.0,24.0,197.0,4.7,5.0,5.1,4.8,37.0,34.0,32.0,30.0
9,865,236.0,60.0,395.0,274.0,4.7,4.7,4.1,4.6,37.0,34.0,32.0,30.0
10,866,88.0,245.0,133.0,167.0,4.9,4.5,4.8,5.1,37.0,34.0,32.0,30.0
11,867,286.0,372.0,0.0,25.0,4.5,4.8,4.9,5.1,37.0,34.0,32.0,30.0
12,868,355.0,469.0,16.0,18.0,4.5,4.6,4.8,4.7,37.0,34.0,32.0,30.0
13,869,303.0,374.0,121.0,44.0,5.0,4.8,4.7,5.1,37.0,35.0,32.0,30.0
14,870,508.0,231.0,0.0,16.0,4.5,4.9,5.0,5.0,37.0,35.0,32.0,30.0
15,871,365.0,480.0,15.0,12.0,4.5,4.5,4.5,4.7,37.0,35.0,32.0,30.0
16,872,315.0,414.0,-5.0,13.0,4.6,4.6,4.8,5.1,37.0,35.0,32.0,30.0
17,873,373.0,428.0,0.0,57.0,4.5,4.8,4.6,4.7,38.0,35.0,32.0,30.0
18,874,386.0,465.0,-1.0,17.0,5.0,4.6,4.6,4.7,38.0,36.0,32.0,30.0
19,875,397.0,489.0,17.0,46.0,4.8,4.6,4.7,4.6,38.0,36.0,31.0,29.0
20,876,405.0,511.0,32.0,18.0,4.8,4.7,4.5,5.0,38.0,36.0,31.0,29.0
21,877,381.0,508.0,155.0,51.0,4.9,4.5,4.3,5.0,38.0,36.0,31.0,30.0
22,878,391.0,453.0,15.0,39.0,4.5,4.8,4.8,4.6,38.0,36.0,31.0,29.0
23,879,397.0,473.0,14.0,77.0,5.0,4.6,4.5,4.6,39.0,37.0,31.0,29.0
24,880,418.0,479.0,51.0,80.0,4.6,4.7,4.7,4.6,39.0,37.0,31.0,29.0
25,881,370.0,498.0,26.0,19.0,4.9,4.5,4.4,5.0,39.0,37.0,31.0,29.0
26,882,310.0,439.0,0.0,14.0,4.6,4.6,4.6,4.8,39.0,37.0,31.0,29.0
27,883,254.0,539.0,0.0,72.0,5.0,4.5,4.7,4.7,39.0,37.0,31.0,29.0
28,884,124.0,265.0,0.0,82.0,4.8,4.9,4.9,5.2,39.0,37.0,31.0,29.0
29,885,40.0,254.0,31.0,52.0,5.0,5.0,5.1,5.2,39.0,37.0,31.0,29.0
30,886,33.0,245.0,35.0,41.0,5.1,4.8,5.0,5.1,39.0,37.0,31.0,29.0
31,887,28.0,323.0,294.0,175.0,5.0,4.6,4.4,5.1,39.0,37.0,31.0,29.0
32,888,59.0,368.0,68.0,413.0,4.5,4.6,4.7,5.1,39.0,37.0,31.0,30.0
33,889,39.0,518.0,44.0,133.0,5.0,4.5,4.4,5.1,39.0,37.0,31.0,30.0
34,890,69.0,306.0,56.0,212.0,4.9,4.7,4.6,4.9,39.0,37.0,31.0,30.0
35,891,30.0,408.0,113.0,149.0,5.1,4.7,4.5,5.1,39.0,37.0,31.0,30.0
36,892,66.0,371.0,0.0,26.0,5.1,4.7,4.7,5.1,39.0,37.0,31.0,30.0
37,893,34.0,130.0,0.0,14.0,5.2,5.1,5.0,5.2,38.0,37.0,31.0,30.0
38,894,129.0,381.0,17.0,14.0,5.1,4.8,4.6,5.1,38.0,37.0,31.0,30.0
39,895,223.0,269.0,28.0,20.0,5.1,4.9,4.7,5.1,38.0,37.0,31.0,30.0
40,896,56.0,76.0,0.0,12.0,5.1,5.1,5.2,5.2,38.0,37.0,31.0,30.0
41,897,51.0,266.0,-4.0,32.0,5.1,4.9,5.1,5.1,38.0,37.0,31.0,30.0
42,898,99.0,214.0,-14.0,13.0,5.2,4.9,5.0,5.2,38.0,37.0,31.0,30.0
43,899,208.0,432.0,0.0,12.0,4.6,4.8,4.7,4.8,38.0,37.0,31.0,30.0
44,900,436.0,323.0,0.0,13.0,5.0,4.7,5.0,5.0,39.0,37.0,31.0,30.0
45,901,261.0,363.0,0.0,15.0,5.0,4.8,4.9,5.2,39.0,37.0,31.0,29.0
46,902,57.0,279.0,15.0,13.0,5.1,4.9,5.0,5.2,39.0,38.0,31.0,29.0
47,903,33.0,193.0,1.0,12.0,5.2,5.0,5.1,5.2,39.0,38.0,31.0,29.0
48,904,19.0,87.0,0.0,12.0,5.2,5.2,5.2,5.2,39.0,38.0,31.0,29.0
49,905,18.0,41.0,0.0,11.0,5.2,5.1,5.2,5.2,39.0,37.0,31.0,29.0
50,906,14.0,26.0,0.0,13.0,5.2,5.2,5.2,5.2,39.0,37.0,31.0,29.0
51,907,0.0,10.0,4.0,0.0,5.2,5.2,5.2,5.3,39.0,37.0,31.0,29.0
52,908,2.0,0.0,14.0,12.0,5.2,5.2,5.2,5.2,39.0,37.0,31.0,29.0
53,909,-7.0,10.0,0.0,-12.0,5.2,5.2,5.2,5.2,38.0,37.0,31.0,29.0
54,910,7.0,13.0,24.0,25.0,5.2,5.2,5.2,5.3,38.0,37.0,30.0,29.0
55,911,-2.0,24.0,128.0,31.0,5.2,5.1,5.0,5.2,38.0,37.0,30.0,29.0
56,912,13.0,12.0,19.0,12.0,5.2,5.2,5.2,5.3,38.0,37.0,31.0,29.0
57,913,0.0,10.0,16.0,12.0,5.2,5.2,5.2,5.2,38.0,37.0,30.0,29.0
58,914,0.0,11.0,18.0,12.0,5.2,5.2,5.2,5.2,38.0,37.0,30.0,29.0
59,915,13.0,22.0,0.0,11.0,5.2,5.2,5.2,5.2,38.0,37.0,30.0,29.0
60,916,9.0,13.0,19.0,32.0,5.2,5.2,5.2,5.2,38.0,37.0,30.0,29.0
61,917,14.0,21.0,17.0,12.0,5.2,5.2,5.2,5.2,38.0,37.0,30.0,29.0
