step,action_count,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp
1,817,13.0,15.0,15.0,-12.0,5.2,5.2,5.2,5.2,37.0,32.0,26.0,23.0
2,818,13.0,13.0,20.0,10.0,5.2,5.2,5.2,5.2,37.0,32.0,26.0,23.0
3,819,12.0,14.0,0.0,11.0,5.2,5.2,5.2,5.2,37.0,32.0,26.0,23.0
4,820,-13.0,0.0,0.0,-11.0,5.2,5.2,5.2,5.2,37.0,32.0,26.0,23.0
5,821,-2.0,-14.0,0.0,12.0,5.2,5.2,5.2,5.2,37.0,32.0,26.0,23.0
6,822,0.0,0.0,0.0,12.0,5.2,5.2,5.2,5.2,37.0,32.0,26.0,23.0
7,823,12.0,0.0,0.0,11.0,5.2,5.2,5.2,5.2,37.0,31.0,26.0,23.0
8,824,24.0,17.0,17.0,-11.0,5.1,5.2,5.2,5.2,37.0,31.0,26.0,23.0
9,825,108.0,26.0,34.0,12.0,5.2,5.2,5.1,5.0,37.0,31.0,26.0,23.0
10,826,15.0,14.0,0.0,12.0,5.2,5.2,5.2,5.2,37.0,31.0,26.0,23.0
11,827,40.0,17.0,21.0,12.0,5.2,5.2,5.2,5.1,37.0,31.0,26.0,23.0
12,828,13.0,16.0,15.0,11.0,5.2,5.2,5.2,5.2,37.0,31.0,26.0,23.0
13,829,0.0,0.0,0.0,0.0,,,,,,,,
