step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,766,610,5624,2357,10151,610,5624,2358,10151,0,0,-1,0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,-0.9726496338844299,-0.16754849255084991,-0.9529557824134827,-0.5082278847694397
2,767,584,5603,2329,10145,584,5603,2330,10151,0,0,-1,-6,0.0,0.0,0.0,-13.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,-0.8934692144393921,-0.7158874273300171,-0.9655262231826782,-0.20910298824310303
3,768,482,5716,2304,10141,482,5717,2305,10141,0,-1,-1,0,0.0,0.0,0.0,-5.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,-0.680282473564148,0.7582767009735107,-0.8658735752105713,-0.14968526363372803
4,769,482,5731,2279,10126,482,5729,2280,10127,0,2,-1,-1,0.0,13.0,0.0,-11.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,-0.0022762378212064505,0.10063682496547699,-0.8400566577911377,-0.5305835008621216
5,770,477,5707,2276,10121,477,5708,2277,10127,0,-1,-1,-6,0.0,0.0,0.0,-13.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,-0.19543707370758057,-0.8044823408126831,-0.10060326755046844,-0.19366495311260223
6,771,459,5702,2254,10100,459,5703,2255,10102,0,-1,-1,-2,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,-0.6252631545066833,-0.1771116554737091,-0.7374008297920227,-0.7023419737815857
7,772,433,5696,2261,10057,434,5697,2262,10058,-1,-1,-1,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,-0.8741555213928223,-0.22564126551151276,0.05280819907784462,-0.2867114841938019
8,773,365,5756,2389,9916,365,5756,2389,9916,0,0,0,0,0.0,12.0,0.0,2.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,-0.459449827671051,0.4036369025707245,0.8545961976051331,-0.9465180039405823
9,774,421,5622,2425,9789,422,5622,2425,9789,-1,0,0,0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,0.37347662448883057,-0.8989624977111816,0.24191272258758545,-0.8516663908958435
10,775,272,5660,2418,9761,272,5660,2418,9761,0,0,0,0,-3.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,-0.999519407749176,0.2598575949668884,-0.2460341453552246,-0.9528272151947021
11,776,353,5749,2465,9613,353,5749,2466,9614,0,0,-1,-1,0.0,0.0,0.0,1.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,0.5409867763519287,0.5956031084060669,0.3180047273635864,-0.991405725479126
12,777,377,5647,2532,9576,377,5647,2532,9576,0,0,0,0,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,26.0,24.0,24.0,24.0,0.1618880033493042,-0.6828626990318298,0.45168790221214294,-0.24805612862110138
