episode,episode_reward,coverage,steps,termination_reason,terminated,truncated,coverage_reward_sum,current_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,max_current,hardware_error,hardware_error_ids
1,0.6,0.000138889,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0,0,13,FALSE,
2,0.599979592,0.000138889,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.04E-05,0,12,FALSE,
3,1.098667624,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001332376,0,190,FALSE,
4,0.599465012,0.000138889,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.000534988,0,234,FALSE,
5,1.097991706,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.002008294,0,14,FALSE,
6,1.099994482,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,5.52E-06,0,12,FALSE,
7,1.099901224,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,9.88E-05,0,55,FALSE,
8,1.09985342,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00014658,0,12,FALSE,
9,1.099915069,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,8.49E-05,0,39,FALSE,
10,1.099972539,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,11,FALSE,
11,1.099986939,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,1.31E-05,0,11,FALSE,
12,1.0999856,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,1.44E-05,0,11,FALSE,
13,1.099999967,0.000277778,1,out_of_bounds,TRUE,FALSE,1,0.1,3.27E-08,0,11,FALSE,
