episode,episode_reward,coverage,steps,termination_reason,terminated,truncated,coverage_reward_sum,current_reward_sum,current_change_penalty_sum,hardware_error_penalty_sum,max_current,hardware_error,hardware_error_ids
1,1.1,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0,0,25,FALSE,
2,0.599045192,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.000954808,0,158,FALSE,
3,1.099284767,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000715233,0,15,FALSE,
4,1.099723624,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000276376,0,80,FALSE,
5,0.599723624,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.000276376,0,15,FALSE,
6,-0.009311216,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,-0.5,0.009311216,0,522,FALSE,
7,1.091506939,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.008493061,0,15,FALSE,
8,1.099583053,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000416947,0,125,FALSE,
9,1.099396049,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000603951,0,17,FALSE,
10,1.099966563,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.34E-05,0,28,FALSE,
11,1.099976196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.38E-05,0,16,FALSE,
12,1.099972539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,15,FALSE,
13,0.599901224,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,9.88E-05,0,40,FALSE,
14,0.599908278,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,9.17E-05,0,16,FALSE,
1,1.1,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0,0,29,FALSE,
2,0.5999424,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,5.76E-05,0,14,FALSE,
3,1.099908278,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,9.17E-05,0,40,FALSE,
4,1.099970612,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.94E-05,0,32,FALSE,
5,1.099976196,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.38E-05,0,16,FALSE,
6,0.599979592,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.04E-05,0,15,FALSE,
7,1.099982727,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,1.73E-05,0,16,FALSE,
8,1.096635396,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.003364604,0,309,FALSE,
9,1.097139069,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.002860931,0,45,FALSE,
10,0.599874482,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.000125518,0,17,FALSE,
11,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,14,FALSE,
12,1.098783706,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001216294,0,204,FALSE,
13,0.598448196,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.001551804,0,18,FALSE,
14,0.599976196,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.38E-05,0,15,FALSE,
15,0.599972539,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.75E-05,0,16,FALSE,
16,0.5982576,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.0017424,0,215,FALSE,
17,1.099626155,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000373845,0,108,FALSE,
18,1.099497927,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000502073,0,17,FALSE,
19,1.097991706,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.002008294,0,234,FALSE,
20,1.098103478,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001896522,0,16,FALSE,
21,1.099977927,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.21E-05,0,15,FALSE,
22,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,13,FALSE,
23,1.099977927,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.21E-05,0,15,FALSE,
24,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,15,FALSE,
25,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,13,FALSE,
26,1.09996862,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.14E-05,0,21,FALSE,
27,1.09732911,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00267089,0,305,FALSE,
28,1.096718727,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.003281273,0,16,FALSE,
29,1.099981192,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,1.88E-05,0,16,FALSE,
30,1.099970612,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.94E-05,0,14,FALSE,
31,1.099979592,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.04E-05,0,14,FALSE,
32,1.099999706,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.94E-07,0,14,FALSE,
33,0.599999478,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,5.22E-07,0,16,FALSE,
34,0.599977927,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.21E-05,0,16,FALSE,
35,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,16,FALSE,
36,0.59543262,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.00456738,0,385,FALSE,
37,1.09516,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00484,0,16,FALSE,
38,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,13,FALSE,
39,1.099999869,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,1.31E-07,0,14,FALSE,
40,1.099966563,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.34E-05,0,18,FALSE,
41,1.0998976,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.0001024,0,42,FALSE,
42,1.099970612,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.94E-05,0,15,FALSE,
43,1.0999744,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.56E-05,0,18,FALSE,
44,1.099619135,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000380865,0,94,FALSE,
45,1.099705306,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000294694,0,14,FALSE,
46,0.599972539,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.75E-05,0,16,FALSE,
47,1.099972539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,14,FALSE,
48,0.599979592,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.04E-05,0,13,FALSE,
49,1.09973551,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.00026449,0,77,FALSE,
50,1.099962253,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.77E-05,0,109,FALSE,
51,1.09996862,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.14E-05,0,126,FALSE,
52,0.599341584,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,0.000658416,0,16,FALSE,
53,1.093735706,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.006264294,0,423,FALSE,
54,1.093792784,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.006207216,0,18,FALSE,
55,1.099972539,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.75E-05,0,15,FALSE,
56,1.099378155,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000621845,0,138,FALSE,
57,1.099265306,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000734694,0,12,FALSE,
58,1.098573682,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.001426318,0,197,FALSE,
59,1.099404898,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000595102,0,62,FALSE,
60,1.099811396,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,0.000188604,0,18,FALSE,
61,1.099970612,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.94E-05,0,17,FALSE,
62,0.599976196,0.000143761,1,out_of_bounds,TRUE,FALSE,0.5,0.1,2.38E-05,0,16,FALSE,
63,1.09996862,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.14E-05,0,20,FALSE,
64,1.09996862,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,3.14E-05,0,13,FALSE,
65,1.099977927,0.000287522,1,out_of_bounds,TRUE,FALSE,1,0.1,2.21E-05,0,15,FALSE,
