timestamp,action_count,motor_id,target_position,present_position,present_current_mA,present_voltage_V,temperature_C,torque_enabled,present_pwm,present_velocity,hardware_error_status,hardware_error_hex,packet_error,packet_error_hex,hardware_error_decoded
2026-08-27T11:57:57.861598,0,16,3471,3471,0,5.2,24,1,0,1,0,0x00,,None,No hardware error
2026-08-27T11:57:58.005749,0,17,2196,2196,0,5.2,59,1,0,0,0,0x00,,None,No hardware error
2026-08-27T11:57:58.149715,0,18,1196,1196,3,5.2,70,1,0,0,0,0x00,,None,No hardware error
2026-08-27T11:57:58.293802,0,19,2336,2336,0,5.300000000000001,47,1,0,1,0,0x00,,None,No hardware error
2026-08-27T12:20:25.375521,0,16,855,855,0,5.2,39,1,0,1,0,0x00,,None,No hardware error
2026-08-27T12:20:25.519631,0,17,1875,1875,0,5.2,45,1,0,1,0,0x00,,None,No hardware error
2026-08-27T12:20:25.663588,0,18,1985,1985,0,5.2,42,1,0,1,0,0x00,,None,No hardware error
2026-08-27T12:20:25.807539,0,19,2016,2016,0,5.2,37,1,0,1,0,0x00,,None,No hardware error
2026-08-27T12:20:56.154917,0,16,1073,1073,0,5.2,38,1,0,1,0,0x00,,None,No hardware error
2026-08-27T12:20:56.299034,0,17,1591,1591,0,5.2,43,1,0,1,0,0x00,,None,No hardware error
2026-08-27T12:20:56.442959,0,18,1393,1393,10,5.2,41,1,0,1,0,0x00,,None,No hardware error
2026-08-27T12:20:56.586950,0,19,3113,3113,0,5.2,37,1,0,0,0,0x00,,None,No hardware error
