step,action_count,cube_x,cube_y,dist_to_goal_x,dist_to_goal_y,dist_to_goal,distance_reward,obs_cube_x_norm,obs_cube_y_norm,obs_cube_yaw_norm,obs_goal_x_norm,obs_goal_y_norm,obs_motor_16_pos_delta_norm,obs_motor_17_pos_delta_norm,obs_motor_18_pos_delta_norm,obs_motor_19_pos_delta_norm,obs_motor_16_current_norm,obs_motor_17_current_norm,obs_motor_18_current_norm,obs_motor_19_current_norm,obs_horizontal_tension_norm,obs_vertical_tension_norm,obs_total_tension_norm,obs_motor_16_target_error_norm,obs_motor_17_target_error_norm,obs_motor_18_target_error_norm,obs_motor_19_target_error_norm,action_m16,action_m17,action_m18,action_m19,total_safety_penalty
1,1,-0.2902284127428558,-0.36575736727072106,-0.17122841274285583,0.16224263272927897,0.23588522888338195,0.9769550729019737,0.49310553073883057,0.5793799161911011,-1.0,0.8860465288162231,0.3084745705127716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607718467712402,-0.559970498085022,0.8199633359909058,-0.005928079131990671,-0.11590783
2,2,-0.2841628907886694,-0.3678762079622268,-0.16516289078866941,0.16012379203777322,0.2300400166715043,0.9775132828125191,0.4878408908843994,0.583462119102478,-1.0,0.8860465288162231,0.3084745705127716,0.007499999832361937,0.0,0.01412499975413084,0.0001250000059371814,0.0001541700039524585,0.00011991000064881518,0.00016558999777771533,0.00010278000263497233,0.024000000208616257,0.023499999195337296,0.04749999940395355,0.009750000201165676,0.007499999832361937,0.0022499999031424522,0.007249999791383743,0.023216649889945984,0.907279372215271,0.7253996729850769,-0.6142071485519409,0.0
3,3,-0.2809944920230782,-0.36500809665964973,-0.1619944920230782,0.1629919033403503,0.229801166229254,0.9775361062746873,0.501946747303009,0.5798708200454712,-1.0,0.8860465288162231,0.3084745705127716,0.007375000044703484,0.005249999929219484,0.027374999597668648,-0.011125000193715096,0.00017130000924225897,0.0006281000096350908,0.00021127000218257308,9.707000572234392e-05,0.07000000029802322,0.027000000700354576,0.09700000286102295,0.01075000036507845,0.03099999949336052,0.002749999985098839,0.006750000175088644,-0.5352743864059448,0.7385677099227905,0.8992862105369568,-0.7810664176940918,0.0
4,4,-0.27921847522632653,-0.3650639168652327,-0.16021847522632654,0.16293608313476732,0.22851285957501127,0.9776592293804374,0.5093151330947876,0.5847320556640625,-1.0,0.8860465288162231,0.3084745705127716,0.0005000000237487257,0.014875000342726707,0.04349999874830246,-0.02762500010430813,9.707000572234392e-05,0.0009193100268021226,0.0003140500048175454,0.0001484600070398301,0.08900000154972076,0.04050000011920929,0.12950000166893005,0.0044999998062849045,0.039250001311302185,0.004000000189989805,0.010499999858438969,0.5664322376251221,0.7217956185340881,0.36775901913642883,0.2510764002799988,0.0
5,5,-0.2762843040043056,-0.3653108785061114,-0.1572843040043056,0.16268912149388864,0.2262876544104253,0.9778719646798872,0.5134453773498535,0.5846374034881592,-1.0,0.8860465288162231,0.3084745705127716,0.0013749999925494194,0.018124999478459358,0.04937500134110451,-0.02775000035762787,0.000433959998190403,0.0017872300231829286,0.0004967700224369764,0.000308340007904917,0.19449999928474426,0.07050000131130219,0.26499998569488525,0.023749999701976776,0.05974999815225601,0.006000000052154064,0.019999999552965164,0.5821611881256104,0.8223074078559875,0.9420689940452576,-0.5789362788200378,-0.044799305
6,6,-0.27597738403348576,-0.3666170176077432,-0.15697738403348577,0.16138298239225685,0.2251363278189816,0.9779820707909326,0.5202690362930298,0.5842188596725464,-1.0,0.8860465288162231,0.3084745705127716,0.005499999970197678,0.017999999225139618,0.06612499803304672,-0.03812500089406967,0.0008108200272545218,0.002592340111732483,0.0006281000096350908,0.0002797899942379445,0.2980000078678131,0.0794999971985817,0.3774999976158142,0.03725000098347664,0.0767500028014183,0.00774999987334013,0.01924999989569187,-0.16810919344425201,0.8278887271881104,-0.5382936596870422,0.6779747009277344,-0.13278888
7,7,-0.2681891361754796,-0.3732232949674487,-0.14918913617547963,0.1547767050325513,0.2149726186599568,0.9789551448951258,0.5209828019142151,0.5820050835609436,-1.0,0.8860465288162231,0.3084745705127716,0.005499999970197678,0.017999999225139618,0.05925000086426735,-0.03350000083446503,0.000616680015809834,0.001667320029810071,0.00013133000175002962,0.0007194600184448063,0.20000000298023224,0.07450000196695328,0.2745000123977661,0.03099999949336052,0.057999998331069946,0.001500000013038516,0.03525000065565109,0.843358039855957,-0.11332856863737106,-0.7587901949882507,-0.6661287546157837,0.0
8,8,-0.2776365657718421,-0.36614775425935864,-0.1586365657718421,0.1618522457406414,0.22663121905680372,0.9778391129784276,0.5390950441360474,0.5708079934120178,-1.0,0.8860465288162231,0.3084745705127716,0.00787500012665987,0.017999999225139618,0.04574999958276749,-0.03187499940395355,0.0016730300849303603,0.0014788900734856725,8.565000462112948e-05,0.00011420000373618677,0.2759999930858612,0.017500000074505806,0.29350000619888306,0.057750001549720764,0.05400000140070915,0.0002500000118743628,0.007249999791383743,-0.0046533457934856415,0.7516971826553345,0.9559715986251831,0.8089516758918762,0.0
9,9,-0.27712670502199854,-0.3678219093229722,-0.15812670502199855,0.16017809067702782,0.22508015366542714,0.9779874435913599,0.5171242952346802,0.5828003883361816,-1.0,0.8860465288162231,0.3084745705127716,0.008124999701976776,0.017875000834465027,0.05887499824166298,-0.030124999582767487,0.0015645400853827596,0.002757929963991046,0.0008850500453263521,0.0006281000096350908,0.3785000145435333,0.13249999284744263,0.5109999775886536,0.0572500005364418,0.08224999904632568,0.009750000201165676,0.03400000184774399,0.04810243472456932,0.28374847769737244,-0.6160274744033813,0.3783985674381256,-0.078374855
10,10,-0.2766932821386035,-0.3681373469613355,-0.1576932821386035,0.15986265303866454,0.2245511947601385,0.9780380389825603,0.518310010433197,0.5799628496170044,-1.0,0.8860465288162231,0.3084745705127716,0.008124999701976776,0.017875000834465027,0.05112500116229057,-0.02525000087916851,0.0016559000359848142,0.001878590090200305,0.0001598800008650869,0.000770850048866123,0.3095000088214874,0.08150000125169754,0.39100000262260437,0.05900000035762787,0.06350000202655792,0.0022499999031424522,0.03824999928474426,0.13811618089675903,-0.5430881977081299,0.11933016031980515,-0.5619802474975586,0.0
11,11,-0.2701548564672291,-0.37105062681898826,-0.1511548564672291,0.15694937318101176,0.21790111604932436,0.9786745718543836,0.5193179249763489,0.5794281959533691,-1.0,0.8860465288162231,0.3084745705127716,0.00937500037252903,0.017875000834465027,0.051500000059604645,-0.02525000087916851,0.0018043600721284747,0.001022089971229434,0.00048534999950788915,0.0002512400096748024,0.2475000023841858,0.06449999660253525,0.31200000643730164,0.061500001698732376,0.04324999824166298,0.005750000011175871,0.017249999567866325,-0.8774952292442322,-0.26176854968070984,0.28214016556739807,-0.8209691047668457,0.0
