step,action_count,motor_16_target,motor_17_target,motor_18_target,motor_19_target,motor_16_position,motor_17_position,motor_18_position,motor_19_position,motor_16_error,motor_17_error,motor_18_error,motor_19_error,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp,motor_16_action,motor_17_action,motor_18_action,motor_19_action
1,5595,14356,-7194,30784,1248,14329,-7201,30784,1249,27,7,0,-1,21.0,13.0,0.0,-14.0,5.2,5.2,5.2,5.2,27.0,23.0,23.0,23.0,0.5261213779449463,-0.31548359990119934,-0.715153157711029,-0.7674179077148438
2,5596,14242,-7288,30663,1338,14242,-7288,30664,1339,0,0,-1,-1,0.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,27.0,23.0,23.0,23.0,-0.7644421458244324,-0.6320459246635437,-0.809266209602356,0.6034200191497803
3,5597,14225,-7315,30526,1412,14225,-7314,30527,1413,0,-1,-1,-1,0.0,-11.0,-1.0,0.0,5.2,5.2,5.2,5.2,27.0,23.0,23.0,23.0,-0.5887891054153442,-0.9083004593849182,-0.9177102446556091,0.49827396869659424
4,5598,14348,-7426,30625,1275,14349,-7426,30625,1274,-1,0,0,1,0.0,0.0,0.0,14.0,5.2,5.2,5.2,5.2,27.0,23.0,23.0,23.0,0.8241461515426636,-0.7443813681602478,0.66507488489151,-0.9188328385353088
5,5599,14378,-7561,30630,1421,14379,-7561,30630,1422,-1,0,0,-1,1.0,0.0,0.0,0.0,5.2,5.2,5.2,5.2,27.0,23.0,23.0,23.0,0.20200301706790924,-0.9061887264251709,0.037462830543518066,0.9799792170524597
6,5600,14510,-7439,30710,1480,14508,-7440,30711,1480,2,1,-1,0,13.0,13.0,0.0,13.0,5.2,5.2,5.2,5.2,27.0,23.0,23.0,23.0,0.8828147649765015,0.8196793794631958,0.5366128087043762,0.39697694778442383
7,5601,14618,-7483,30826,1577,14595,-7489,30826,1577,23,6,0,0,19.0,14.0,0.0,0.0,5.2,5.2,5.2,5.2,27.0,23.0,23.0,23.0,0.7201581597328186,-0.2974119782447815,0.7788401246070862,0.6482439041137695
8,5602,14677,-7496,30699,1588,14632,-7505,30700,1588,45,9,-1,0,32.0,13.0,1.0,0.0,5.2,5.2,5.2,5.2,27.0,23.0,23.0,23.0,0.3942132294178009,-0.0877876803278923,-0.8516537547111511,0.07691218703985214
9,5603,14774,-7628,30622,1733,14754,-7636,30622,1733,20,8,0,0,18.0,14.0,0.0,-7.0,5.2,5.2,5.2,5.2,27.0,23.0,23.0,23.0,0.6530972719192505,-0.8854928612709045,-0.5190862417221069,0.9724599719047546
10,5604,14771,-7703,30613,1705,14770,-7702,30613,1705,1,-1,0,0,14.0,0.0,0.0,-3.0,5.2,5.2,5.2,5.2,27.0,23.0,23.0,23.0,-0.025236671790480614,-0.5063520073890686,-0.3121437132358551,-0.9474078416824341
