step,action_count,motor_16_current,motor_17_current,motor_18_current,motor_19_current,motor_16_voltage,motor_17_voltage,motor_18_voltage,motor_19_voltage,motor_16_temp,motor_17_temp,motor_18_temp,motor_19_temp
1,6626,0.0,40.0,20.0,72.0,5.1,5.1,5.2,5.1,24.0,27.0,25.0,36.0
2,6627,0.0,45.0,21.0,15.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
3,6628,0.0,12.0,0.0,0.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
4,6629,0.0,22.0,17.0,40.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
5,6630,0.0,13.0,16.0,22.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
6,6631,0.0,40.0,31.0,105.0,5.2,5.1,5.2,5.2,24.0,27.0,25.0,36.0
7,6632,0.0,22.0,19.0,172.0,5.2,5.2,5.2,5.0,24.0,27.0,25.0,36.0
8,6633,0.0,21.0,48.0,209.0,5.1,5.2,5.1,5.2,24.0,27.0,25.0,36.0
9,6634,0.0,16.0,42.0,33.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
10,6635,0.0,16.0,27.0,178.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
11,6636,-6.0,14.0,37.0,21.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
12,6637,-13.0,0.0,0.0,11.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
13,6638,4.0,69.0,27.0,52.0,5.1,5.2,5.2,5.2,24.0,27.0,25.0,36.0
14,6639,6.0,57.0,19.0,30.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
15,6640,12.0,52.0,22.0,15.0,5.2,5.2,5.1,5.2,24.0,27.0,25.0,36.0
16,6641,10.0,84.0,17.0,74.0,5.2,5.0,5.2,5.2,24.0,27.0,25.0,36.0
17,6642,0.0,184.0,52.0,56.0,5.1,5.0,5.0,5.2,24.0,27.0,25.0,36.0
18,6643,0.0,41.0,60.0,233.0,4.8,5.1,5.1,4.9,24.0,27.0,25.0,36.0
19,6644,0.0,20.0,31.0,231.0,5.1,5.2,5.1,5.2,24.0,27.0,25.0,36.0
20,6645,0.0,159.0,55.0,118.0,5.1,5.1,5.0,5.2,24.0,27.0,25.0,36.0
21,6646,2.0,32.0,19.0,176.0,5.2,5.1,5.1,5.2,24.0,27.0,25.0,36.0
22,6647,0.0,14.0,17.0,57.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
23,6648,0.0,16.0,30.0,58.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
24,6649,0.0,123.0,45.0,173.0,5.2,5.1,5.1,5.2,24.0,27.0,25.0,35.0
25,6650,0.0,77.0,19.0,310.0,5.2,5.1,5.1,5.0,24.0,27.0,25.0,36.0
26,6651,0.0,17.0,18.0,167.0,5.0,5.2,5.2,5.0,24.0,27.0,25.0,36.0
27,6652,0.0,19.0,17.0,173.0,5.2,5.2,5.2,5.1,24.0,27.0,25.0,36.0
28,6653,0.0,16.0,34.0,256.0,4.8,5.1,5.1,4.9,24.0,27.0,25.0,36.0
29,6654,0.0,20.0,20.0,225.0,5.1,5.1,5.1,5.2,24.0,27.0,25.0,36.0
30,6655,0.0,86.0,19.0,37.0,5.2,5.2,5.1,5.2,24.0,27.0,25.0,36.0
31,6656,0.0,34.0,18.0,14.0,5.2,5.2,5.1,5.2,24.0,27.0,25.0,36.0
32,6657,0.0,41.0,15.0,13.0,5.2,5.2,5.1,5.2,24.0,27.0,25.0,36.0
33,6658,0.0,13.0,16.0,43.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
34,6659,0.0,17.0,17.0,68.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,36.0
35,6660,0.0,14.0,15.0,131.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,35.0
36,6661,0.0,73.0,16.0,271.0,5.2,5.1,5.0,4.9,24.0,27.0,25.0,35.0
37,6662,0.0,89.0,14.0,104.0,5.2,5.2,5.0,5.2,24.0,27.0,25.0,35.0
38,6663,5.0,15.0,15.0,15.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,35.0
39,6664,3.0,40.0,0.0,95.0,5.0,5.1,5.2,5.2,24.0,27.0,25.0,35.0
40,6665,13.0,16.0,-5.0,193.0,5.1,5.2,5.2,5.0,24.0,27.0,25.0,35.0
41,6666,0.0,14.0,0.0,30.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,35.0
42,6667,0.0,37.0,-16.0,76.0,5.2,5.2,5.2,5.2,24.0,27.0,25.0,35.0
43,6668,0.0,66.0,-16.0,64.0,5.2,5.1,5.0,5.2,24.0,27.0,25.0,35.0
44,6669,0.0,19.0,-16.0,175.0,5.1,5.1,5.2,5.1,24.0,27.0,25.0,35.0
45,6670,0.0,18.0,15.0,190.0,4.9,5.1,5.2,5.1,24.0,27.0,25.0,35.0
46,6671,0.0,26.0,-16.0,233.0,5.2,5.2,5.1,4.9,24.0,27.0,25.0,35.0
47,6672,-12.0,16.0,16.0,42.0,5.1,5.2,5.2,5.2,24.0,27.0,25.0,35.0
48,6673,0.0,36.0,0.0,14.0,5.2,5.2,5.1,5.2,24.0,27.0,25.0,35.0
