timestamp,action_count,action_m16,action_m17,action_m18,action_m19,delta_m16,delta_m17,delta_m18,delta_m19,target_before_m16,target_before_m17,target_before_m18,target_before_m19,target_after_m16,target_after_m17,target_after_m18,target_after_m19,position_m16,position_m17,position_m18,position_m19,current_m16_mA,current_m17_mA,current_m18_mA,current_m19_mA,voltage_m16_V,voltage_m17_V,voltage_m18_V,voltage_m19_V,temperature_m16_C,temperature_m17_C,temperature_m18_C,temperature_m19_C,pwm_m16,pwm_m17,pwm_m18,pwm_m19,velocity_m16,velocity_m17,velocity_m18,velocity_m19,hardware_status_m16,hardware_status_m17,hardware_status_m18,hardware_status_m19,packet_error_m16,packet_error_m17,packet_error_m18,packet_error_m19,success,hardware_error,hardware_error_ids,error_message
2026-08-28T12:53:40.925293,1,0.17590239644050598,-0.6510286331176758,0.1599358171224594,-0.7611873745918274,26,-97,23,-114,8216,-5392,2113,10087,8242,-5489,2136,9973,8232,-5488,2136,9973,14,0,0,0,5.2,5.2,5.2,5.2,25,22,22,22,1,0,0,0,3,0,0,0,0,0,0,0,,,,,True,False,,
2026-08-28T12:53:43.261135,2,-0.4124634861946106,0.48593518137931824,0.21224717795848846,-0.9294061064720154,-61,72,31,-139,8242,-5489,2136,9973,8181,-5417,2167,9834,8206,-5417,2167,9835,-14,0,0,0,5.2,5.300000000000001,5.2,5.2,25,22,22,22,0,0,0,0,-4,1,1,0,0,0,0,0,,,,,True,False,,
2026-08-28T12:53:45.596983,3,-0.9403740763664246,0.8669432401657104,-0.1237427219748497,-0.18944935500621796,-141,130,-18,-28,8181,-5417,2167,9834,8040,-5287,2149,9806,8097,-5286,2149,9807,-10,0,0,0,5.2,5.300000000000001,5.2,5.300000000000001,25,22,22,22,-4,0,0,0,-13,1,0,0,0,0,0,0,,,,,True,False,,
2026-08-28T12:53:47.932806,4,-0.17823933064937592,-0.04044850915670395,-0.14218130707740784,-0.1469254493713379,-26,-6,-21,-22,8040,-5287,2149,9806,8014,-5293,2128,9784,8024,-5291,2128,9784,-14,-8,0,0,5.2,5.2,5.2,5.2,25,22,22,22,0,0,0,0,1,1,0,0,0,0,0,0,,,,,True,False,,
2026-08-28T12:53:50.268627,5,0.23274995386600494,-0.83119136095047,0.9071215391159058,0.8249858617782593,34,-124,136,123,8014,-5293,2128,9784,8048,-5417,2264,9907,8036,-5417,2264,9907,13,0,2,2,5.2,5.2,5.2,5.2,25,22,22,22,0,0,4,0,2,0,0,1,0,0,0,0,,,,,True,False,,
2026-08-28T12:53:52.604468,6,0.21503609418869019,0.9119167327880859,-0.14776360988616943,-0.19452963769435883,32,136,-22,-29,8048,-5417,2264,9907,8080,-5281,2242,9878,8069,-5280,2243,9879,13,0,0,-11,5.2,5.2,5.2,5.2,25,22,22,22,0,0,0,-2,3,1,0,0,0,0,0,0,,,,,True,False,,
2026-08-28T12:53:54.940310,7,-0.7395912408828735,0.19978772103786469,0.4928802251815796,-0.7297616004943848,-110,29,73,-109,8080,-5281,2242,9878,7970,-5252,2315,9769,8015,-5252,2315,9769,-11,9,16,0,5.2,5.300000000000001,5.2,5.2,25,22,22,22,-2,0,4,0,-9,0,0,0,0,0,0,0,,,,,True,False,,
2026-08-28T12:53:57.276141,8,-0.053074680268764496,-0.16261452436447144,-0.055374763906002045,-0.05910106375813484,-7,-24,-8,-8,7970,-5252,2315,9769,7963,-5276,2307,9761,7965,-5275,2308,9762,-2,0,0,-12,5.2,5.2,5.2,5.2,25,22,22,22,0,0,0,-2,0,1,0,1,0,0,0,0,,,,,True,False,,
2026-08-28T12:53:59.611962,9,0.8206796646118164,-0.9780000448226929,-0.04393962025642395,-0.16685768961906433,123,-146,-6,-25,7963,-5276,2307,9761,8086,-5422,2301,9736,8038,-5422,2302,9736,11,0,0,0,5.2,5.2,5.2,5.2,25,23,22,22,4,0,0,0,9,0,0,1,0,0,0,0,,,,,True,False,,
2026-08-28T12:54:01.947804,10,-0.13939327001571655,-0.1571718454360962,0.49497348070144653,0.2365565150976181,-20,-23,74,35,8086,-5422,2301,9736,8066,-5445,2375,9771,8076,-5444,2375,9771,-13,0,0,9,5.2,5.2,5.2,5.300000000000001,25,22,22,22,0,0,0,0,0,0,1,0,0,0,0,0,,,,,True,False,,
